,ID,class,accuracy
59,sub-020,Ach,8.0708351
76,sub-010,Ach,11.8456031
75,sub-011,Ach,12.5104355
74,sub-012,Ach,4.1488329
32,sub-003,Ach,14.8407512
33,sub-002,Ach,9.7986242
34,sub-001,Ach,5.2801513
73,sub-013,Ach,18.0836634
72,sub-014,Ach,10.0377862
71,sub-015,Ach,14.1896309
70,sub-016,Ach,11.5337075
69,sub-029,Ach,9.0487676
68,sub-006,Ach,11.5937992
67,sub-028,Ach,16.6453115
42,sub-004,Ach,8.2174328
66,sub-027,Ach,15.4225422
65,sub-026,Ach,18.4412033
64,sub-025,Ach,14.7091527
63,sub-024,Ach,9.2915239
62,sub-023,Ach,15.721419
61,sub-022,Ach,9.0627386
60,sub-021,Ach,6.6167794
58,sub-019,Ach,11.2516396
57,sub-007,Ach,6.9817212
56,sub-005,Ach,10.7708774
79,sub-008,Ach,12.4099944
78,sub-009,Ach,8.8004739
81,sub-018,Ach,9.029839
115,sub-017,Ach,3.481266
80,sub-030,Ach,3.9111297
117,sub-012,Aco,1.756213
116,sub-011,Aco,2.4709835
118,sub-013,Aco,19.048756
114,sub-009,Aco,5.3299462
113,sub-008,Aco,1.8603586
112,sub-015,Aco,8.9918147
111,sub-014,Aco,9.6101097
110,sub-022,Aco,9.3335287
109,sub-016,Aco,14.3274151
108,sub-017,Aco,7.3851783
107,sub-018,Aco,4.0765579
106,sub-019,Aco,6.6580166
104,sub-021,Aco,-4.0655205
103,sub-006,Aco,9.7437909
102,sub-007,Aco,4.6879306
100,sub-005,Aco,-0.4355019
99,sub-004,Aco,8.5357482
89,sub-024,Aco,3.7640637
85,sub-002,Aco,11.8318442
84,sub-003,Aco,0.7527649
83,sub-023,Aco,13.7073604
82,sub-025,Aco,12.8998813
77,sub-001,Aco,4.4152877
105,sub-020,Aco,8.3695169
55,sub-026,Aco,10.4275936
119,sub-010,Aco,-1.6631043
53,sub-027,Aco,2.3055093
52,sub-028,Aco,2.8190433
51,sub-029,Aco,8.2232613
50,sub-030,Aco,5.4646793
20,sub-022,Lch,12.178275
19,sub-021,Lch,13.7695444
18,sub-019,Lch,8.4039003
17,sub-018,Lch,13.820463
16,sub-017,Lch,8.9884884
15,sub-016,Lch,15.3196695
14,sub-015,Lch,7.152825
13,sub-014,Lch,-2.2316031
12,sub-012,Lch,10.3707949
11,sub-006,Lch,13.7741342
9,sub-001,Lch,8.6415701
21,sub-023,Lch,9.1950929
8,sub-002,Lch,5.7656953
7,sub-003,Lch,5.3317667
6,sub-005,Lch,6.8481581
5,sub-004,Lch,25.680029
4,sub-007,Lch,12.3192929
3,sub-008,Lch,14.2855736
2,sub-009,Lch,11.4572322
1,sub-010,Lch,11.7085538
10,sub-030,Lch,14.0931389
22,sub-024,Lch,16.2686735
0,sub-011,Lch,17.5712423
24,sub-026,Lch,7.0827468
25,sub-027,Lch,22.4481921
26,sub-028,Lch,11.7512362
23,sub-025,Lch,22.7497839
29,sub-020,Lch,4.9555029
28,sub-013,Lch,4.3161792
27,sub-029,Lch,13.8344273
37,sub-001,Lco,1.4450644
38,sub-002,Lco,0.7291777
39,sub-003,Lco,17.9854889
40,sub-004,Lco,-2.6068878
43,sub-006,Lco,8.6684325
36,sub-029,Lco,12.0107106
44,sub-008,Lco,4.4069552
45,sub-009,Lco,3.8869538
46,sub-010,Lco,7.9584372
47,sub-011,Lco,4.2125939
48,sub-012,Lco,-1.2205585
49,sub-013,Lco,-3.3973905
41,sub-005,Lco,0.6327163
35,sub-030,Lco,2.8270224
101,sub-017,Lco,-1.5962162
30,sub-028,Lco,3.4521648
98,sub-026,Lco,1.0742566
97,sub-025,Lco,7.5263664
96,sub-024,Lco,4.9335818
95,sub-023,Lco,5.9497952
94,sub-022,Lco,7.2582502
93,sub-021,Lco,14.3205362
92,sub-020,Lco,1.3011331
91,sub-019,Lco,2.9529656
90,sub-018,Lco,-4.845672
88,sub-016,Lco,1.8511996
54,sub-007,Lco,3.0277178
86,sub-014,Lco,5.8746972
31,sub-027,Lco,9.1464352
87,sub-015,Lco,-0.2980128
